id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NF2	4	1.7606e-11	2.9738e-07	0.000291	1	4	-1.3624	1.0	1.0	1.0	16643	0	-1.3624
SRSF10	4	5.1347e-11	2.9738e-07	0.000291	2	4	-1.8816	1.0	1.0	1.0	16647	0	-1.8816
EIF2B4	8	2.0356e-10	2.9738e-07	0.000291	3	8	-1.5627	1.0	1.0	1.0	16646	0	-1.5627
LAS1L	6	3.2765e-10	2.9738e-07	0.000291	4	6	-2.2766	0.99999	0.99998	1.0	16568	0	-2.2766
RPL3	15	1.7029e-09	2.9738e-07	0.000291	5	12	-1.109	0.98581	0.99483	1.0	15895	2	-1.109
ATP6V0	7	2.6136e-09	2.9738e-07	0.000291	6	7	-1.6931	1.0	1.0	1.0	16645	0	-1.6931
TCOF1	3	1.0774e-08	2.9738e-07	0.000291	7	3	-1.8747	1.0	1.0	1.0	16644	0	-1.8747
SF1	4	1.0894e-08	2.9738e-07	0.000291	8	3	-1.8755	0.95558	0.95545	1.0	15358	0	-1.8755
RPL	7	1.1245e-08	2.9738e-07	0.000291	9	7	-2.6594	0.99984	0.99983	1.0	16476	0	-2.6594
VARS	8	2.0557e-08	2.9738e-07	0.000291	10	8	-1.8301	0.99999	0.99999	1.0	16594	0	-1.8301
CTDP1	4	5.2439e-08	2.9738e-07	0.000291	11	4	-1.8939	1.0	1.0	1.0	16642	0	-1.8939
PPP1R8	11	7.5301e-08	2.9738e-07	0.000291	12	10	-1.0292	0.88482	0.95229	1.0	14226	1	-1.0292
PMVK	6	7.9433e-08	2.9738e-07	0.000291	13	6	-1.3809	1.0	1.0	1.0	16641	0	-1.3809
NDUFS2	6	8.0514e-08	5.9476e-07	0.00055	14	6	-1.1552	1.0	1.0	1.0	16636	0	-1.1552
MRPL9	5	8.8413e-08	2.9738e-07	0.000291	15	5	-2.0155	1.0	1.0	1.0	16640	0	-2.0155
PTPMT1	7	9.7066e-08	8.9214e-07	0.000571	16	7	-2.1412	1.0	1.0	1.0	16639	0	-2.1412
HMB	3	1.0319e-07	2.9738e-07	0.000291	17	3	-1.3727	1.0	1.0	1.0	16638	0	-1.3727
XRN1	4	1.3476e-07	2.9738e-07	0.000291	18	4	-2.2725	1.0	1.0	1.0	16637	0	-2.2725
HAUS	9	1.4669e-07	1.4869e-06	0.000884	19	7	-1.6064	0.97612	0.97716	1.0	15691	1	-1.6064
SNRNP200	5	1.8597e-07	8.9214e-07	0.000571	20	5	-1.5203	1.0	1.0	1.0	16635	0	-1.5203
SYS	4	1.8712e-07	8.9214e-07	0.000571	21	4	-1.7754	1.0	1.0	1.0	16634	0	-1.7754
HEATR1	6	2.2319e-07	1.4869e-06	0.000884	22	5	-2.1069	0.98697	0.98701	1.0	15931	0	-2.1069
EIF2S	4	2.3561e-07	8.9214e-07	0.000571	23	4	-2.1974	1.0	1.0	1.0	16633	0	-2.1974
AIFM1	10	2.9374e-07	2.0817e-06	0.001083	24	8	-1.5319	0.99505	0.99507	1.0	16154	0	-1.5319
CCT7	4	3.0725e-07	8.9214e-07	0.000571	25	2	-0.85731	0.84421	0.84375	1.0	13650	0	-0.85731
PKM	3	3.0979e-07	8.9214e-07	0.000571	26	3	-1.8858	1.0	1.0	1.0	16632	0	-1.8858
ERCC2	4	3.1361e-07	8.9214e-07	0.000571	27	3	-1.6489	0.073108	0.16638	0.925081	2902	1	-1.6489
PKMYT1	3	4.1402e-07	8.9214e-07	0.000571	28	3	-1.599	1.0	1.0	1.0	16631	0	-1.599
CHEK1	4	5.3971e-07	2.6764e-06	0.00131	29	4	-1.8851	1.0	1.0	1.0	16630	0	-1.8851
PES1	4	5.5562e-07	2.6764e-06	0.00131	30	3	-1.5064	0.2055	0.35091	0.982573	5720	1	-1.5064
ASH2L	2	5.9696e-07	2.9738e-07	0.000291	31	2	-2.5181	1.0	1.0	1.0	16629	0	-2.5181
HMGCS	5	6.0143e-07	2.0817e-06	0.001083	32	5	-1.9358	1.0	1.0	1.0	16628	0	-1.9358
RPL14	3	6.6247e-07	2.0817e-06	0.001083	33	3	-1.7189	1.0	1.0	1.0	16627	0	-1.7189
CIAO1	6	7.3447e-07	4.4607e-06	0.001753	34	6	-1.2116	1.0	1.0	1.0	16626	0	-1.2116
PMF1	5	7.4914e-07	3.2712e-06	0.001513	35	5	-2.1105	0.99804	0.99804	1.0	16277	0	-2.1105
EIF3	7	7.8511e-07	5.0555e-06	0.001753	36	7	-1.6405	1.0	1.0	1.0	16603	0	-1.6405
PSMA3	3	7.8698e-07	2.0817e-06	0.001083	37	3	-2.4113	1.0	1.0	1.0	16625	0	-2.4113
TAF1	23	9.5799e-07	1.6951e-05	0.003919	38	15	-0.44798	0.9185	0.98824	1.0	14761	3	-0.44798
EXOSC10	4	9.6018e-07	3.8659e-06	0.001609	39	4	-1.3009	1.0	1.0	1.0	16624	0	-1.3009
HSD17B10	4	9.8142e-07	3.8659e-06	0.001609	40	4	-2.474	1.0	1.0	1.0	16623	0	-2.474
RABGGTB	4	1.1888e-06	5.0555e-06	0.001753	41	4	-1.943	1.0	1.0	1.0	16622	0	-1.943
POLR2	14	1.2454e-06	1.3977e-05	0.003372	42	10	-0.82292	0.31649	0.63223	1.0	7455	3	-0.82292
PTPN14	4	1.2586e-06	5.0555e-06	0.001753	43	4	-1.6144	0.99999	0.99999	1.0	16573	0	-1.6144
KRI1	4	1.2671e-06	5.0555e-06	0.001753	44	4	-2.4971	1.0	1.0	1.0	16621	0	-2.4971
GABPB1	4	1.2713e-06	5.0555e-06	0.001753	45	4	-1.6072	0.99796	0.99799	1.0	16272	0	-1.6072
SMG7	4	1.3742e-06	5.6502e-06	0.001809	46	3	-1.3243	0.33188	0.47812	1.0	7646	1	-1.3243
GPN3	6	1.3888e-06	8.3267e-06	0.00231	47	4	-1.761	0.83373	0.86799	1.0	13501	1	-1.761
GINS3	5	1.4121e-06	4.4607e-06	0.001753	48	5	-1.6907	0.99998	0.99998	1.0	16565	0	-1.6907
CEBPZ	6	1.4239e-06	8.624e-06	0.002354	49	5	-1.2397	0.97748	0.97753	1.0	15723	0	-1.2397
ACTL6A	4	1.4534e-06	5.6502e-06	0.001809	50	4	-1.5743	1.0	1.0	1.0	16620	0	-1.5743
BRF1	7	1.4704e-06	1.0408e-05	0.002707	51	5	-1.368	0.85872	0.90228	1.0	13865	1	-1.368
AURKB	5	1.4893e-06	5.6502e-06	0.001809	52	5	-1.7036	0.99834	0.99835	1.0	16296	0	-1.7036
NOL1	4	1.5064e-06	5.6502e-06	0.001809	53	4	-1.5081	1.0	1.0	1.0	16619	0	-1.5081
CSTF3	7	1.6022e-06	1.1003e-05	0.002775	54	6	-2.0231	0.62448	0.77904	1.0	10859	1	-2.0231
NFS1	3	1.6204e-06	3.2712e-06	0.001513	55	3	-1.9811	1.0	1.0	1.0	16618	0	-1.9811
SLC25A26	5	1.6322e-06	6.245e-06	0.001925	56	5	-1.3895	1.0	1.0	1.0	16617	0	-1.3895
RPL2	9	1.633e-06	1.3977e-05	0.003372	57	8	-1.0077	0.82355	0.91233	1.0	13359	1	-1.0077
