geneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XRCC5	21.44279087	3.501825357	0.410083798	8.539292142	1.35E-17	1.62E-16
VAPA	6.813776731	3.142563485	0.376256968	8.352173527	6.70E-17	7.47E-16
HMGCR	5.316463059	3.510905415	0.743292879	4.723448204	2.32E-06	6.91E-06
PDLIM5	4133.653547	2.890806667	0.254098143	11.37673275	5.46E-30	2.99E-28
XRCC6	1.820005972	2.159953793	0.483768258	4.464852242	8.01E-06	2.22E-05
IQGAP2	73.47548446	4.377494157	0.404909554	10.8110419	3.05E-27	1.25E-25
MED24	6.27327847	2.204871441	0.29246099	7.539027479	4.73E-14	3.65E-13
PTPN21	4.750297426	2.813777888	0.525941401	5.349983638	8.80E-08	3.17E-07
SRP19	3.12505045	2.812814162	0.694959549	4.047450193	5.18E-05	0.000127105
TPD52	565.0238354	2.048038548	0.229841103	8.910671402	5.07E-19	7.41E-18
B2M	3.910113646	2.427334909	0.545639358	4.448606709	8.64E-06	2.38E-05
CTNNB1	0.695478719	2.116620756	1.104813847	1.915816644	0.055388438	0.08313072
AZGP1	4.458933783	2.734725937	0.474865201	5.758952082	8.46E-09	3.48E-08
DDX17	175.8662923	4.103812226	0.348807489	11.76526408	5.89E-32	3.88E-30
ELOVL5	28334.76709	3.158414337	0.216736868	14.57257533	4.20E-48	9.49E-46
INSIG1	49.81036608	3.559559267	0.303430959	11.73103524	8.84E-32	5.62E-30
STK39	38.70037316	3.438889233	0.367390868	9.360301346	7.95E-21	1.48E-19
H1-0	20.37224291	5.987618955	0.80978756	7.394061419	1.42E-13	1.04E-12
RAN	7.260678909	2.109897913	0.410895907	5.134872063	2.82E-07	9.49E-07
MED12	380.5827688	4.181150302	0.402517773	10.38749238	2.83E-25	8.91E-24
UBE2J1	6.325102463	3.492259224	0.428733874	8.145517385	3.78E-16	3.81E-15
LIFR	1.427661403	2.635074213	1.085927548	2.426565397	0.015242503	0.025426755
ACTN1	5.623849528	5.018788636	1.641276011	3.05785779	0.002229253	0.004266944
MED14	6.101292944	2.351947136	0.436158294	5.392416391	6.95E-08	2.54E-07
ARID1A	1106.370275	2.339053869	0.203428676	11.49815216	1.35E-30	7.86E-29
MED13	2.651867023	4.045035059	1.535635451	2.634111537	0.008435777	0.014730581
PPARGC1A	1.087650994	2.028325942	0.423106317	4.793891893	1.64E-06	4.97E-06
ELL2	418.3862058	2.440660368	0.219166183	11.13611753	8.37E-29	4.06E-27
